,position
451,"['CM', 'CDM', 'CAM']"
452,['CB']
453,['CB']
454,['CB']
455,['RB']
456,"['LB', 'CB', 'LM']"
457,['GK']
458,['ST']
459,['ST']
460,['GK']
461,['RB']
462,"['CB', 'CDM']"
463,"['ST', 'RW']"
464,['CB']
465,['RW']
466,"['LB', 'CB']"
467,['GK']
468,"['CAM', 'LW']"
469,"['RW', 'CAM']"
470,"['RB', 'RW']"
471,['CB']
472,"['RW', 'LW', 'RM']"
473,"['CDM', 'CM', 'CB']"
474,['GK']
475,['CB']
476,"['CM', 'CDM', 'CF']"
477,['CB']
478,"['RB', 'RWB']"
479,['CM']
480,['RM']
481,"['LM', 'RM']"
482,['GK']
483,['CB']
484,['CB']
485,['ST']
486,['ST']
487,['GK']
488,['GK']
489,"['CB', 'LB']"
490,"['CB', 'CDM']"
491,"['CDM', 'CM']"
492,"['ST', 'CF']"
493,"['CDM', 'ST']"
494,"['LW', 'CF', 'ST']"
495,"['CAM', 'RW']"
496,"['RM', 'LM']"
497,['GK']
498,['GK']
499,['GK']
500,['RWB']
501,['GK']
502,"['CAM', 'CF']"
503,['CAM']
504,"['RM', 'LM']"
505,"['RW', 'ST']"
506,"['CM', 'CAM', 'CDM', 'LM']"
507,['CB']
508,['GK']
509,"['CM', 'CDM', 'RM']"
510,"['CM', 'CDM', 'RM']"
511,['CB']
512,"['CB', 'LB']"
513,['GK']
514,['CDM']
515,"['LB', 'LWB']"
516,['ST']
517,['ST']
518,['CB']
519,"['LM', 'ST']"
520,['GK']
521,['CB']
522,['CM']
523,['GK']
524,['CDM']
525,"['CM', 'CDM']"
526,"['CAM', 'CM']"
527,['CB']
528,['GK']
529,"['CAM', 'CF']"
530,"['CM', 'LB']"
531,"['CDM', 'CM']"
532,"['CM', 'CDM']"
533,['GK']
534,"['RB', 'RM']"
535,"['CM', 'CAM', 'ST', 'CDM']"
536,['ST']
537,['GK']
538,"['CM', 'CDM']"
539,['CB']
540,"['LM', 'RM']"
541,"['LW', 'RW', 'LM', 'CAM']"
542,['GK']
543,"['RW', 'LW', 'RM', 'LM']"
544,"['ST', 'RM']"
545,"['CM', 'CDM', 'LM']"
546,['GK']
547,['ST']
548,"['ST', 'LW', 'LM']"
549,['LW']
550,"['RW', 'LW']"
551,"['CB', 'LB']"
552,['CB']
553,"['CDM', 'CM']"
554,['ST']
555,['CB']
556,"['CM', 'CDM']"
557,['ST']
558,['RW']
559,"['LM', 'RM']"
560,"['LW', 'RW']"
561,"['LW', 'RW']"
562,"['CM', 'CDM']"
563,"['LB', 'LWB']"
564,"['RWB', 'RB']"
565,['ST']
566,['CDM']
567,"['CM', 'CDM']"
568,['GK']
569,"['RM', 'LM']"
570,['GK']
571,"['CM', 'CAM', 'CDM']"
572,"['LB', 'LM']"
573,"['LB', 'CB']"
574,['RB']
575,['CM']
576,"['LM', 'RM', 'CAM']"
577,"['RM', 'RW', 'LM', 'CAM']"
578,"['RW', 'ST']"
579,['ST']
580,"['CB', 'CDM']"
581,"['CM', 'CDM', 'CAM']"
582,"['LM', 'LW', 'RW']"
583,"['ST', 'LM', 'CAM']"
584,"['CM', 'CDM']"
585,['ST']
586,"['LB', 'LWB']"
587,['ST']
588,['ST']
589,['CB']
590,"['CB', 'RB']"
591,['CB']
592,"['CM', 'CDM', 'RM']"
593,"['CDM', 'CM']"
594,"['CDM', 'CM']"
595,['LB']
596,['CAM']
597,"['CB', 'CDM']"
598,['GK']
599,"['CM', 'CAM', 'CDM']"
600,"['CDM', 'CM']"
601,"['RB', 'LB']"
602,"['LW', 'LM', 'ST']"
603,['LB']
604,['ST']
605,"['CAM', 'RM', 'CM']"
606,"['CM', 'CDM', 'CAM']"
607,"['LW', 'LM', 'ST', 'CAM']"
608,"['CAM', 'RM']"
609,"['RB', 'LB']"
610,"['CB', 'RB']"
611,"['CDM', 'CM']"
612,"['CDM', 'CM']"
613,"['CM', 'CDM']"
614,['ST']
615,['CB']
616,"['ST', 'LW']"
617,"['LB', 'LWB']"
618,['GK']
619,"['LM', 'ST']"
620,"['CAM', 'LM', 'CM']"
621,"['LB', 'LWB', 'LM']"
