,Weight
1600,74kg
1601,66kg
1602,70kg
1603,77kg
1604,74kg
1605,73kg
1606,80kg
1607,70kg
1608,84kg
1609,70kg
1610,66kg
1611,97kg
1612,76kg
1613,76kg
1614,70kg
1615,67kg
1616,73kg
1617,68kg
1618,75kg
1619,77kg
1620,71kg
1621,70kg
1622,70kg
1623,82kg
1624,94kg
1625,70kg
1626,65kg
1627,74kg
1628,92kg
1629,88kg
1630,76kg
1631,85kg
1632,85kg
1633,69kg
1634,76kg
1635,76kg
1636,72kg
1637,88kg
1638,89kg
1639,73kg
1640,77kg
1641,84kg
1642,68kg
1643,84kg
1644,82kg
1645,82kg
1646,78kg
1647,58kg
1648,75kg
1649,82kg
1650,78kg
1651,65kg
1652,90kg
1653,70kg
1654,76kg
1655,70kg
1656,79kg
1657,79kg
1658,79kg
1659,64kg
1660,81kg
1661,82kg
1662,77kg
1663,77kg
1664,70kg
1665,72kg
1666,69kg
1667,78kg
1668,73kg
1669,68kg
1670,70kg
1671,85kg
1672,70kg
1673,89kg
1674,76kg
1675,78kg
1676,84kg
1677,71kg
1678,75kg
1679,65kg
1680,77kg
1681,68kg
1682,74kg
1683,74kg
1684,77kg
1685,75kg
1686,69kg
1687,87kg
1688,72kg
1689,71kg
1690,82kg
1691,70kg
1692,82kg
1693,80kg
1694,70kg
1695,87kg
1696,75kg
1697,67kg
1698,75kg
1699,80kg
1700,70kg
1701,77kg
1702,69kg
1703,74kg
1704,76kg
1705,77kg
1706,72kg
1707,84kg
1708,78kg
1709,80kg
1710,67kg
1711,77kg
1712,76kg
1713,71kg
1714,86kg
1715,90kg
1716,83kg
1717,80kg
1718,93kg
1719,77kg
1720,71kg
1721,70kg
1722,72kg
1723,63kg
1724,80kg
1725,78kg
1726,71kg
1727,65kg
1728,77kg
1729,71kg
1730,70kg
1731,77kg
1732,86kg
1733,72kg
1734,72kg
1735,75kg
1736,77kg
1737,66kg
1738,73kg
1739,77kg
1740,75kg
1741,71kg
1742,80kg
1743,75kg
1744,77kg
1745,66kg
1746,76kg
1747,73kg
1748,64kg
1749,75kg
1750,70kg
1751,72kg
1752,73kg
1753,84kg
1754,63kg
1755,88kg
1756,85kg
1757,70kg
1758,71kg
1759,77kg
1760,83kg
1761,67kg
1762,80kg
1763,80kg
1764,76kg
1765,91kg
1766,70kg
1767,73kg
1768,96kg
1769,75kg
1770,85kg
1771,69kg
1772,76kg
1773,75kg
1774,80kg
1775,73kg
1776,77kg
1777,56kg
1778,75kg
1779,79kg
1780,78kg
1781,66kg
1782,70kg
1783,63kg
1784,78kg
1785,78kg
1786,87kg
1787,72kg
1788,78kg
1789,72kg
1790,75kg
1791,83kg
1792,76kg
1793,84kg
1794,80kg
1795,71kg
1796,71kg
1797,82kg
1798,81kg
1799,77kg
1800,80kg
1801,76kg
1802,73kg
1803,76kg
1804,80kg
1805,60kg
1806,72kg
1807,72kg
1808,74kg
1809,78kg
1810,69kg
1811,74kg
1812,80kg
1813,75kg
1814,78kg
1815,74kg
1816,85kg
1817,63kg
1818,63kg
1819,86kg
1820,68kg
1821,70kg
1822,77kg
1823,79kg
1824,88kg
1825,81kg
1826,75kg
1827,78kg
1828,67kg
1829,85kg
